3,25,1,dilate,13,1
3,25,1,dilate,13,4
3,25,1,dilate,13,7
3,25,1,dilate,21,1
3,25,1,dilate,21,4
3,25,1,dilate,21,7
3,25,1,dilate,29,1
3,25,1,dilate,29,4
3,25,1,dilate,29,7
3,25,1,open,13,1
3,25,1,open,13,4
3,25,1,open,13,7
3,25,1,open,21,1
3,25,1,open,21,4
3,25,1,open,21,7
3,25,1,open,29,1
3,25,1,open,29,4
3,25,1,open,29,7
3,25,4,dilate,13,1
3,25,4,dilate,13,4
3,25,4,dilate,13,7
3,25,4,dilate,21,1
3,25,4,dilate,21,4
3,25,4,dilate,21,7
3,25,4,dilate,29,1
3,25,4,dilate,29,4
3,25,4,dilate,29,7
3,25,4,open,13,1
3,25,4,open,13,4
3,25,4,open,13,7
3,25,4,open,21,1
3,25,4,open,21,4
3,25,4,open,21,7
3,25,4,open,29,1
3,25,4,open,29,4
3,25,4,open,29,7
3,25,9,dilate,13,1
3,25,9,dilate,13,4
3,25,9,dilate,13,7
3,25,9,dilate,21,1
3,25,9,dilate,21,4
3,25,9,dilate,21,7
3,25,9,dilate,29,1
3,25,9,dilate,29,4
3,25,9,dilate,29,7
3,25,9,open,13,1
3,25,9,open,13,4
3,25,9,open,13,7
3,25,9,open,21,1
3,25,9,open,21,4
3,25,9,open,21,7
3,25,9,open,29,1
3,25,9,open,29,4
3,25,9,open,29,7
3,25,16,dilate,13,1
3,25,16,dilate,13,4
3,25,16,dilate,13,7
3,25,16,dilate,21,1
3,25,16,dilate,21,4
3,25,16,dilate,21,7
3,25,16,dilate,29,1
3,25,16,dilate,29,4
3,25,16,dilate,29,7
3,25,16,open,13,1
3,25,16,open,13,4
3,25,16,open,13,7
3,25,16,open,21,1
3,25,16,open,21,4
3,25,16,open,21,7
3,25,16,open,29,1
3,25,16,open,29,4
3,25,16,open,29,7
3,25,25,dilate,13,1
3,25,25,dilate,13,4
3,25,25,dilate,13,7
3,25,25,dilate,21,1
3,25,25,dilate,21,4
3,25,25,dilate,21,7
3,25,25,dilate,29,1
3,25,25,dilate,29,4
3,25,25,dilate,29,7
3,25,25,open,13,1
3,25,25,open,13,4
3,25,25,open,13,7
3,25,25,open,21,1
3,25,25,open,21,4
3,25,25,open,21,7
3,25,25,open,29,1
3,25,25,open,29,4
3,25,25,open,29,7
3,50,1,dilate,13,1
3,50,1,dilate,13,4
3,50,1,dilate,13,7
3,50,1,dilate,21,1
3,50,1,dilate,21,4
3,50,1,dilate,21,7
3,50,1,dilate,29,1
3,50,1,dilate,29,4
3,50,1,dilate,29,7
3,50,1,open,13,1
3,50,1,open,13,4
3,50,1,open,13,7
3,50,1,open,21,1
3,50,1,open,21,4
3,50,1,open,21,7
3,50,1,open,29,1
3,50,1,open,29,4
3,50,1,open,29,7
3,50,4,dilate,13,1
3,50,4,dilate,13,4
3,50,4,dilate,13,7
3,50,4,dilate,21,1
3,50,4,dilate,21,4
3,50,4,dilate,21,7
3,50,4,dilate,29,1
3,50,4,dilate,29,4
3,50,4,dilate,29,7
3,50,4,open,13,1
3,50,4,open,13,4
3,50,4,open,13,7
3,50,4,open,21,1
3,50,4,open,21,4
3,50,4,open,21,7
3,50,4,open,29,1
3,50,4,open,29,4
3,50,4,open,29,7
3,50,9,dilate,13,1
3,50,9,dilate,13,4
3,50,9,dilate,13,7
3,50,9,dilate,21,1
3,50,9,dilate,21,4
3,50,9,dilate,21,7
3,50,9,dilate,29,1
3,50,9,dilate,29,4
3,50,9,dilate,29,7
3,50,9,open,13,1
3,50,9,open,13,4
3,50,9,open,13,7
3,50,9,open,21,1
3,50,9,open,21,4
3,50,9,open,21,7
3,50,9,open,29,1
3,50,9,open,29,4
3,50,9,open,29,7
3,50,16,dilate,13,1
3,50,16,dilate,13,4
3,50,16,dilate,13,7
3,50,16,dilate,21,1
3,50,16,dilate,21,4
3,50,16,dilate,21,7
3,50,16,dilate,29,1
3,50,16,dilate,29,4
3,50,16,dilate,29,7
3,50,16,open,13,1
3,50,16,open,13,4
3,50,16,open,13,7
3,50,16,open,21,1
3,50,16,open,21,4
3,50,16,open,21,7
3,50,16,open,29,1
3,50,16,open,29,4
3,50,16,open,29,7
3,50,25,dilate,13,1
3,50,25,dilate,13,4
3,50,25,dilate,13,7
3,50,25,dilate,21,1
3,50,25,dilate,21,4
3,50,25,dilate,21,7
3,50,25,dilate,29,1
3,50,25,dilate,29,4
3,50,25,dilate,29,7
3,50,25,open,13,1
3,50,25,open,13,4
3,50,25,open,13,7
3,50,25,open,21,1
3,50,25,open,21,4
3,50,25,open,21,7
3,50,25,open,29,1
3,50,25,open,29,4
3,50,25,open,29,7
3,75,1,dilate,13,1
3,75,1,dilate,13,4
3,75,1,dilate,13,7
3,75,1,dilate,21,1
3,75,1,dilate,21,4
3,75,1,dilate,21,7
3,75,1,dilate,29,1
3,75,1,dilate,29,4
3,75,1,dilate,29,7
3,75,1,open,13,1
3,75,1,open,13,4
3,75,1,open,13,7
3,75,1,open,21,1
3,75,1,open,21,4
3,75,1,open,21,7
3,75,1,open,29,1
3,75,1,open,29,4
3,75,1,open,29,7
3,75,4,dilate,13,1
3,75,4,dilate,13,4
3,75,4,dilate,13,7
3,75,4,dilate,21,1
3,75,4,dilate,21,4
3,75,4,dilate,21,7
