gaussWindow,mgp,minArea,diffMethod,winSize,maxLevel,realFps,avNbBoxes,avNbFilteredBoxes,avNbHeliBox,percentHeliTotalFiltered,percentFrameWithHeli
7,75,4,0,3,7,121.09708672490373,3.5426695842450764,1.087527352297593,0.3916849015317287,0.36016096579476864,0.3165938864628821
5,75,4,0,3,1,113.2954802194667,18.99416484318016,13.696571845368345,0.7228300510576222,0.05277452337842156,0.5611353711790393
5,100,9,0,3,1,116.74198110462213,18.84172137126185,12.478482859226842,0.6943836615609045,0.05564648117839607,0.5334788937409025
7,125,9,0,13,4,90.63585803891576,4.580598103574034,0.912472647702407,0.40043763676148797,0.43884892086330934,0.31513828238719066
7,100,9,0,13,1,106.98666528793507,4.557986870897155,0.9059080962800875,0.39460247994164843,0.4355877616747182,0.31077147016011647
5,100,4,0,11,4,104.68670332580666,8.557986870897155,3.364697301239971,0.6973012399708242,0.20724040754389766,0.5305676855895196
7,75,9,0,11,7,104.26056156073963,3.988329686360321,0.9168490153172867,0.3967906637490883,0.4327764518695306,0.31222707423580787
5,100,1,0,11,7,112.25956109943125,8.482859226841722,3.339168490153173,0.6980306345733042,0.20904325032765397,0.5363901018922853
5,125,16,0,5,1,121.34321105929443,7.441283734500365,3.3595915390226114,0.6958424507658644,0.20712114633087278,0.5320232896652111
7,75,16,0,3,1,114.1449521264108,7.61706783369803,4.431072210065645,0.3822027716994894,0.08625514403292181,0.30858806404657935
5,100,9,0,11,1,119.2119310493461,8.63165572574763,3.3705324580598104,0.6907366885485048,0.20493399697035275,0.5312954876273653
7,75,9,0,5,1,114.86317822568658,3.4938001458789203,0.9226841721371262,0.40189642596644787,0.4355731225296443,0.3180494905385735
7,125,4,0,5,4,101.67406270240927,3.684901531728665,0.9175784099197666,0.39314369073668853,0.42845786963434024,0.31004366812227074
7,100,16,0,11,4,102.96801943712464,4.487235594456601,0.9263311451495259,0.3967906637490883,0.42834645669291344,0.3129548762736536
5,125,16,0,7,1,120.56132087474522,7.7789934354485775,3.366156090444931,0.700948212983224,0.20823401950162515,0.5356622998544396
5,75,16,0,7,7,108.00883974530352,7.5849744711889135,3.3676148796498904,0.7053245805981035,0.2094433614901451,0.5385735080058224
5,75,4,0,5,4,115.70716319131135,7.371261852662291,3.37636761487965,0.7031363967906638,0.20825232231583496,0.5393013100436681
7,100,4,0,7,7,110.05995223526236,3.889861415025529,0.9168490153172867,0.40043763676148797,0.4367541766109785,0.31513828238719066
5,125,9,0,9,1,121.38349622633376,8.156819839533187,3.3829321663019694,0.6936542669584245,0.20504527813712806,0.5291120815138283
5,100,9,0,3,7,114.30657422531506,9.974471188913203,5.662290299051787,0.8672501823486506,0.15316243720211256,0.6513828238719068
5,100,25,0,13,1,119.81858733362309,8.858497447118891,1.837345003646973,0.5565280816921955,0.30289797538705837,0.42867540029112083
5,125,1,0,11,7,109.28527114518874,8.762946754194019,3.476294675419402,0.6892778993435449,0.19827947964750314,0.5283842794759825
7,100,4,0,3,7,108.20132155235665,3.946024799416484,1.2450765864332605,0.4201312910284464,0.33743409490333914,0.33624454148471616
5,100,9,0,7,4,114.41459903636927,7.786287381473377,3.3420860685630926,0.7082421590080233,0.21191619380183327,0.5400291120815138
7,100,16,0,3,7,107.90824500669125,3.946024799416484,1.2450765864332605,0.4201312910284464,0.33743409490333914,0.33624454148471616
7,125,16,0,5,4,109.44607224014284,3.684901531728665,0.9175784099197666,0.39314369073668853,0.42845786963434024,0.31004366812227074
5,75,4,0,3,7,113.50980666074555,9.951859956236325,5.765864332603939,0.7330415754923414,0.127134724857685,0.5625909752547307
7,75,25,0,7,7,108.59052189679664,3.616338439095551,0.6199854121079504,0.3267687819110139,0.5270588235294118,0.26200873362445415
7,75,9,0,13,4,108.97451098877872,3.9905178701677606,0.9088256746900073,0.3967906637490883,0.43659711075441415,0.31004366812227074
5,125,9,0,13,4,110.7834997733131,9.042304886943837,3.486506199854121,0.687819110138585,0.19728033472803347,0.524745269286754
7,75,4,0,7,7,109.18966960827133,3.616338439095551,0.9139314369073669,0.4033552151714077,0.441340782122905,0.31877729257641924
5,125,25,0,3,1,119.86355444815045,21.84099197665937,8.728665207877462,0.5237053245805982,0.05999832873736108,0.40975254730713245
5,125,4,0,3,1,119.08261664202969,21.84099197665937,15.048140043763675,0.6688548504741065,0.04444767582763803,0.5087336244541485
5,100,4,0,5,7,116.78942306025009,7.285193289569658,3.353756382202772,0.7045951859956237,0.21009134406263594,0.5356622998544396
7,125,9,0,7,4,109.33450062899168,3.9584245076586435,0.9234135667396062,0.40189642596644787,0.4352290679304897,0.3158660844250364
7,100,9,0,9,7,106.92839999626452,4.174325309992706,0.9350838803792852,0.3975200583515682,0.42511700468018715,0.31149927219796214
5,100,4,0,13,7,112.40033366701671,8.76513493800146,3.3457330415754925,0.6900072939460248,0.20623501199040767,0.5283842794759825
5,125,25,0,3,7,115.2011236385579,10.99343544857768,2.5368344274252372,0.550692924872356,0.21707878090856814,0.43013100436681223
7,100,1,0,11,1,110.07993293295964,4.4901531728665205,0.9197665937272064,0.3938730853391685,0.42823156225218084,0.31077147016011647
5,125,1,0,3,4,114.30171509973076,9.785557986870897,4.293946024799417,0.6863603209336251,0.1598437234584678,0.529839883551674
5,125,9,0,9,7,113.89092084622446,8.280087527352297,3.3595915390226114,0.6936542669584245,0.2064698219713417,0.5312954876273653
7,125,25,0,11,1,115.05510251794826,4.560175054704596,0.6032093362509118,0.3238512035010941,0.5368802902055623,0.2612809315866084
5,100,25,0,7,7,117.00184060755804,7.5652808169219545,1.7921225382932167,0.5514223194748359,0.3076923076923077,0.4294032023289665
7,100,4,0,7,1,117.36545809856682,3.914660831509847,0.9212253829321663,0.4011670313639679,0.435471100554236,0.3158660844250364
7,100,4,0,5,4,111.72128677553339,3.7330415754923414,0.9219547775346463,0.3975200583515682,0.43117088607594933,0.31222707423580787
5,100,9,0,3,4,117.22333245970384,10.175784099197665,4.420131291028446,0.649890590809628,0.14702970297029702,0.5043668122270742
7,100,16,0,7,4,110.71946540065056,3.923413566739606,0.9073668854850474,0.3975200583515682,0.4381028938906752,0.31513828238719066
5,75,1,0,11,4,116.68550987618853,7.881108679795769,3.324580598103574,0.700218818380744,0.21061869240895129,0.529839883551674
5,75,25,0,3,4,119.24879507945103,10.719912472647703,2.598832968636032,0.4989059080962801,0.191973056413135,0.3988355167394469
5,125,9,0,9,4,116.64411320761124,8.087527352297593,3.385120350109409,0.6994894237782641,0.20663650075414783,0.5349344978165939
7,100,4,0,7,4,112.11555441753644,3.923413566739606,0.9073668854850474,0.3975200583515682,0.4381028938906752,0.31513828238719066
5,75,4,0,7,7,115.83700031066911,7.5849744711889135,3.3676148796498904,0.7053245805981035,0.2094433614901451,0.5385735080058224
7,125,9,0,9,4,110.82329854175413,4.050328227571116,0.9314369073668854,0.3982494529540481,0.42756460454189504,0.3165938864628821
5,100,9,0,13,4,114.76255760470664,8.776805251641138,3.353756382202772,0.6929248723559446,0.2066115702479339,0.529839883551674
7,75,1,0,5,1,118.03869177735086,3.4938001458789203,0.9226841721371262,0.40189642596644787,0.4355731225296443,0.3180494905385735
7,75,9,0,7,4,112.31963257256265,3.37345003646973,0.9438366156090445,0.40700218818380746,0.4312210200927357,0.32168850072780203
5,75,1,0,9,7,116.23694808810524,7.897155361050328,3.3216630196936543,0.6943836615609045,0.20904699165568733,0.5342066957787481
7,125,4,0,13,4,105.87656549367145,4.580598103574034,0.912472647702407,0.40043763676148797,0.43884892086330934,0.31513828238719066
7,125,25,0,3,4,109.69854934446734,4.703136396790664,0.6433260393873085,0.312180889861415,0.4852607709750567,0.2540029112081514
