gaussWindow,mgp,minArea,diffMethod,winSize,maxLevel,realFps,avNbBoxes,avNbFilteredBoxes,avNbHeliBox,percentHeliTotalFiltered,percentFrameWithHeli
3,25,1,dilate,13,1,180.5580268030112,24.38512035010941,17.24288840262582,0.9416484318016046,0.05461082910321489,0.7663755458515283
3,25,1,dilate,13,4,114.39212822308562,24.834427425237052,17.397520058351567,0.9234135667396062,0.05307731007881939,0.7583697234352256
3,25,1,dilate,13,7,110.07371574256017,24.791393143690737,17.142231947483587,0.9226841721371262,0.05382520636541571,0.7605531295487628
3,25,1,dilate,21,1,110.99340388980988,28.36177972283005,17.87308533916849,0.9015317286652079,0.050440744368266406,0.74745269286754
3,25,1,dilate,21,4,105.61641823363689,28.078774617067833,17.590080233406272,0.9029905178701677,0.05133521313650688,0.7459970887918487
3,25,1,dilate,21,7,110.07839841217918,28.155361050328228,17.641137855579867,0.9044493070751276,0.05126932936409494,0.75254730713246
3,25,1,dilate,29,1,106.90586191917497,32.965718453683444,20.84099197665937,0.8555798687089715,0.041052742099184546,0.7248908296943232
3,25,1,dilate,29,4,108.45660800300837,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,1,dilate,29,7,110.08352246761429,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,4,dilate,13,1,122.19013817090078,24.38512035010941,17.24288840262582,0.9416484318016046,0.05461082910321489,0.7663755458515283
3,25,4,dilate,13,4,115.75109571806874,24.834427425237052,17.397520058351567,0.9234135667396062,0.05307731007881939,0.7583697234352256
3,25,4,dilate,13,7,115.22867734838182,24.791393143690737,17.142231947483587,0.9226841721371262,0.05382520636541571,0.7605531295487628
3,25,4,dilate,21,1,116.5608245176787,28.36177972283005,17.87308533916849,0.9015317286652079,0.050440744368266406,0.74745269286754
3,25,4,dilate,21,4,111.54735997274801,28.078774617067833,17.590080233406272,0.9029905178701677,0.05133521313650688,0.7459970887918487
3,25,4,dilate,21,7,112.57816870059803,28.155361050328228,17.641137855579867,0.9044493070751276,0.05126932936409494,0.75254730713246
3,25,4,dilate,29,1,115.55713593909348,32.965718453683444,20.84099197665937,0.8555798687089715,0.041052742099184546,0.7248908296943232
3,25,4,dilate,29,4,108.13053480386664,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,4,dilate,29,7,110.17247123508231,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,9,dilate,13,1,120.6030574191683,24.38512035010941,17.24288840262582,0.9416484318016046,0.05461082910321489,0.7663755458515283
3,25,9,dilate,13,4,115.32136682509785,24.834427425237052,17.397520058351567,0.9234135667396062,0.05307731007881939,0.7583697234352256
3,25,9,dilate,13,7,115.59449686065034,24.791393143690737,17.142231947483587,0.9226841721371262,0.05382520636541571,0.7605531295487628
3,25,9,dilate,21,1,118.59762708072373,28.36177972283005,17.87308533916849,0.9015317286652079,0.050440744368266406,0.74745269286754
3,25,9,dilate,21,4,112.10105608332617,28.078774617067833,17.590080233406272,0.9029905178701677,0.05133521313650688,0.7459970887918487
3,25,9,dilate,21,7,111.96962640527383,28.155361050328228,17.641137855579867,0.9044493070751276,0.05126932936409494,0.75254730713246
3,25,9,dilate,29,1,115.58346009098287,32.965718453683444,20.84099197665937,0.8555798687089715,0.041052742099184546,0.7248908296943232
3,25,9,dilate,29,4,109.86178204445899,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,9,dilate,29,7,109.42046493981954,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,16,dilate,13,1,119.75136687818384,24.38512035010941,17.24288840262582,0.9416484318016046,0.05461082910321489,0.7663755458515283
3,25,16,dilate,13,4,115.75455754084076,24.834427425237052,17.397520058351567,0.9234135667396062,0.05307731007881939,0.7583697234352256
3,25,16,dilate,13,7,114.12890984962394,24.791393143690737,17.142231947483587,0.9226841721371262,0.05382520636541571,0.7605531295487628
3,25,16,dilate,21,1,119.42884848164559,28.36177972283005,17.87308533916849,0.9015317286652079,0.050440744368266406,0.74745269286754
3,25,16,dilate,21,4,112.08668036614984,28.078774617067833,17.590080233406272,0.9029905178701677,0.05133521313650688,0.7459970887918487
3,25,16,dilate,21,7,106.78073190653345,28.155361050328228,17.641137855579867,0.9044493070751276,0.05126932936409494,0.75254730713246
3,25,16,dilate,29,1,116.55129304498396,32.965718453683444,20.84099197665937,0.8555798687089715,0.041052742099184546,0.7248908296943232
3,25,16,dilate,29,4,110.78603660535136,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,16,dilate,29,7,110.5667624885118,32.50255288110868,21.272064186725018,0.8570386579139314,0.04028939788780688,0.7321688500727802
3,25,25,dilate,13,1,120.41094309373571,24.38512035010941,7.7819110138584975,0.712618526622903,0.091573718249133,0.6324599708879185
3,25,25,dilate,13,4,117.32763511549514,24.834427425237052,7.863603209336251,0.6980306345733042,0.08876727576291624,0.6280931586608443
3,25,25,dilate,13,7,117.37334847626073,24.791393143690737,7.563092633114515,0.6907366885485048,0.0913299257401871,0.631004366812227
3,25,25,dilate,21,1,120.74152166479887,28.36177972283005,7.99708242159008,0.6768781911013858,0.08464064210142283,0.6120815138282387
3,25,25,dilate,21,4,113.91447013065591,28.078774617067833,7.975929978118162,0.6892778993435449,0.08641975308641975,0.6193595342066958
